2026-04-22 16:47:45,793 [ALLOW] UDP 192.168.64.2 -> 18.168.172.238 | rule: Allow all
2026-04-22 16:47:45,799 [ALLOW] TCP 192.168.64.2 -> 18.168.172.238 | rule: Allow all
2026-04-22 16:47:45,836 [ALLOW] TCP 192.168.64.2 -> 176.34.164.201 | rule: Allow all
2026-04-22 16:47:45,850 [ALLOW] TCP 18.168.172.238 -> 192.168.64.2 | rule: Allow all
2026-04-22 16:47:45,851 [ALLOW] TCP 192.168.64.2 -> 18.168.172.238 | rule: Allow all
2026-04-22 16:47:45,851 [ALLOW] TCP 192.168.64.2 -> 18.168.172.238 | rule: Allow all
2026-04-22 16:47:45,886 [ALLOW] TCP 18.168.172.238 -> 192.168.64.2 | rule: Allow all
2026-04-22 16:47:45,886 [ALLOW] TCP 18.168.172.238 -> 192.168.64.2 | rule: Allow all
2026-04-22 16:47:45,886 [ALLOW] TCP 192.168.64.2 -> 18.168.172.238 | rule: Allow all
2026-04-22 16:47:45,886 [ALLOW] TCP 192.168.64.2 -> 18.168.172.238 | rule: Allow all
2026-04-22 16:47:45,889 [ALLOW] TCP 192.168.64.2 -> 18.168.172.238 | rule: Allow all
2026-04-22 16:47:45,889 [ALLOW] TCP 192.168.64.2 -> 18.168.172.238 | rule: Allow all
2026-04-22 16:47:45,918 [ALLOW] TCP 176.34.164.201 -> 192.168.64.2 | rule: Allow all
2026-04-22 16:47:45,922 [ALLOW] TCP 18.168.172.238 -> 192.168.64.2 | rule: Allow all
2026-04-22 16:47:45,922 [ALLOW] TCP 18.168.172.238 -> 192.168.64.2 | rule: Allow all
2026-04-22 16:47:45,922 [ALLOW] TCP 192.168.64.2 -> 18.168.172.238 | rule: Allow all
2026-04-22 16:47:45,933 [ALLOW] None 192.168.64.2 -> 192.168.64.1 | rule: Allow all
2026-04-22 16:47:45,933 [ALLOW] None 192.168.64.2 -> 192.168.64.1 | rule: Allow all
2026-04-22 16:47:45,933 [ALLOW] None 192.168.64.2 -> 192.168.64.1 | rule: Allow all
2026-04-22 16:47:45,950 [ALLOW] None 192.168.64.1 -> 192.168.64.2 | rule: Allow all
2026-04-22 16:47:45,950 [ALLOW] None 192.168.64.1 -> 192.168.64.2 | rule: Allow all
2026-04-22 16:47:45,961 [ALLOW] TCP 18.168.172.238 -> 192.168.64.2 | rule: Allow all
2026-04-22 16:47:45,977 [ALLOW] None 192.168.64.1 -> 192.168.64.2 | rule: Allow all
2026-04-22 16:47:45,977 [ALLOW] None 192.168.64.2 -> 192.168.64.1 | rule: Allow all
2026-04-22 16:47:45,977 [ALLOW] None 192.168.64.2 -> 192.168.64.1 | rule: Allow all
2026-04-22 16:47:45,979 [ALLOW] None 192.168.64.1 -> 192.168.64.2 | rule: Allow all
2026-04-22 16:47:45,979 [ALLOW] None 192.168.64.1 -> 192.168.64.2 | rule: Allow all
2026-04-22 16:47:45,981 [ALLOW] UDP 192.168.64.2 -> 52.222.132.8 | rule: Allow all
